0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
as,a,woman,you,shouldnt,complain,about,clean,up,your,house.,.,as,a,man,you,should,alway,take,the,trash,out...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boy,dat,cold...tyga,dwn,bad,for,cuffin,dat,hoe,in,the,1st,place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dawg,you,ever,fuck,a,bitch,and,she,start,to,cri,you,be,confus,as,shit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
she,look,like,a,tranni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,shit,you,hear,about,me,might,be,true,or,it,might,be,faker,than,the,bitch,who,told,it,to,ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",the,shit,just,blow,me..claim,you,so,faith,and,down,for,somebodi,but,still,fuck,with,hoe,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",i,can,not,just,sit,up,and,hate,on,anoth,bitch,..,i,got,too,much,shit,go,"on""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caus,im,tire,of,you,big,bitch,come,for,us,skinni,girl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",.,you,might,not,get,ya,bitch,back,.,that,that,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",hobbi,includ,fight,"mariam""",bitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",keek,is,a,bitch,she,curv,everyon,"""",lol,i,walk,into,a,convers,like,this.,smh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",murda,gang,bitch,it,gang,land,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",so,hoe,that,smoke,are,loser,"""",yea,...,go,on,ig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",bad,bitch,is,the,onli,thing,that,i,like,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",bitch,get,up,off,me,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",bitch,nigga,miss,me,with,it,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",bitch,plz,whatev,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",bitch,who,do,you,love,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",bitch,get,cut,off,everyday,b,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",black,bottl,.,a,bad,bitch,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",broke,bitch,cant,tell,me,noth,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",cancel,that,bitch,like,nino,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",cant,you,see,these,hoe,wont,chang,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",fuck,no,that,bitch,dont,even,suck,dick,"""",the,kermit,video,bout,to,fuck,ig,up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",got,ya,bitch,tip,toe,on,my,hardwood,floor,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",her,pussi,lip,like,heaven,door,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",hoe,what,it,hit,for,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",i,met,that,pussi,on,ocean,dr,.,i,gave,that,pussi,a,pill,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",i,need,a,trippi,bitch,who,fuck,on,hennessi,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",i,spend,my,money,how,i,want,bitch,it,my,busi,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",i,txt,my,old,bitch,my,new,bitch,pussi,wetter,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",id,say,im,back,to,the,old,me,but,my,old,bitch,would,get,excit,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",if,you,aint,bout,that,murder,game,pussi,nigga,shut,up,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",if,your,toe,aint,done,you,pussi,stink,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",im,done,with,bitter,bitch,it,a,wrap,for,that,.,if,you,a,angri,bird,there,a,app,for,that,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",is,that,ya,bitch,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",it,aint,noth,to,cut,a,bitch,off,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",ju,meet,son,now,he,ya,mane,ass,bitch,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",lame,cri,over,hoe,that,tear,of,a,clown,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
